id,latitude,longitude,city,event,vehicle,geometry
10221520015,51.23266,4.4444,Antwerpen (Deurne),11,ambulance,POINT (4.4444 51.23266)
10221520015,51.23266,4.4444,Antwerpen (Deurne),11,mug,POINT (4.4444 51.23266)
10221520095,51.24848,4.43869,Antwerpen (Merksem),3,ambulance,POINT (4.43869 51.24848)
10221520095,51.24848,4.43869,Antwerpen (Merksem),3,mug,POINT (4.43869 51.24848)
10221520224,51.28273,4.42134,Antwerpen (Ekeren),3,mug,POINT (4.42134 51.28273)
10221520224,51.28273,4.42134,Antwerpen (Ekeren),3,ambulance,POINT (4.42134 51.28273)
10221520302,51.21188,4.42121,Antwerpen (Antwerpen),11,pit,POINT (4.42121 51.21188)
10221520316,51.17895,4.39024,Antwerpen (Wilrijk),3,ambulance,POINT (4.39024 51.17895)
10221520316,51.17895,4.39024,Antwerpen (Wilrijk),3,mug,POINT (4.39024 51.17895)
10221520320,51.17421,4.38765,Antwerpen (Wilrijk),11,mug,POINT (4.38765 51.17421)
10221520320,51.17421,4.38765,Antwerpen (Wilrijk),11,ambulance,POINT (4.38765 51.17421)
10221520320,51.17421,4.38765,Antwerpen (Wilrijk),11,ambulance,POINT (4.38765 51.17421)
10221520363,51.2088,4.47409,Antwerpen (Deurne),11,mug,POINT (4.47409 51.2088)
10221520363,51.2088,4.47409,Antwerpen (Deurne),11,ambulance,POINT (4.47409 51.2088)
10221530012,51.19863,4.42733,Antwerpen (Berchem),11,mug,POINT (4.42733 51.19863)
10221530184,51.24102,4.43908,Antwerpen (Merksem),3,mug,POINT (4.43908 51.24102)
10221530184,51.24102,4.43908,Antwerpen (Merksem),3,ambulance,POINT (4.43908 51.24102)
10221530208,51.22107,4.38607,Antwerpen (Antwerpen),11,ambulance,POINT (4.38607 51.22107)
10221530208,51.22107,4.38607,Antwerpen (Antwerpen),11,mug,POINT (4.38607 51.22107)
10221530254,51.20816,4.46373,Antwerpen (Deurne),11,ambulance,POINT (4.46373 51.20816)
10221530254,51.20816,4.46373,Antwerpen (Deurne),11,mug,POINT (4.46373 51.20816)
10221530286,51.22447,4.45459,Antwerpen (Deurne),11,pit,POINT (4.45459 51.22447)
10221530304,51.2323,4.44421,Antwerpen (Deurne),39,ambulance,POINT (4.44421 51.2323)
10221530345,51.22639,4.4545,Antwerpen (Deurne),39,mug,POINT (4.4545 51.22639)
10221530345,51.22639,4.4545,Antwerpen (Deurne),39,ambulance,POINT (4.4545 51.22639)
10221530395,51.22559,4.42844,Antwerpen (Antwerpen),11,mug,POINT (4.42844 51.22559)
10221530395,51.22559,4.42844,Antwerpen (Antwerpen),11,ambulance,POINT (4.42844 51.22559)
10221530433,51.22378,4.38174,Antwerpen (Antwerpen),39,ambulance,POINT (4.38174 51.22378)
10221540048,51.21426,4.41614,Antwerpen (Antwerpen),11,mug,POINT (4.41614 51.21426)
10221540048,51.21426,4.41614,Antwerpen (Antwerpen),11,ambulance,POINT (4.41614 51.21426)
10221540099,51.23133,4.45073,Antwerpen (Deurne),11,pit,POINT (4.45073 51.23133)
10221540104,51.26991,4.41688,Antwerpen (Antwerpen),39,ambulance,POINT (4.41688 51.26991)
10221540145,51.25058,4.45546,Antwerpen (Merksem),11,ambulance,POINT (4.45546 51.25058)
10221540180,51.2259,4.42672,Antwerpen (Antwerpen),39,ambulance,POINT (4.42672 51.2259)
10221540185,51.19284,4.37538,Antwerpen (Antwerpen),3,mug,POINT (4.37538 51.19284)
10221540277,51.23036,4.4111,Antwerpen (Antwerpen),3,ambulance,POINT (4.4111 51.23036)
10221540277,51.23036,4.4111,Antwerpen (Antwerpen),3,mug,POINT (4.4111 51.23036)
10221540285,51.19977,4.41855,Antwerpen (Antwerpen),11,ambulance,POINT (4.41855 51.19977)
10221540313,51.20281,4.45002,Antwerpen (Borgerhout),3,mug,POINT (4.45002 51.20281)
10221540313,51.20281,4.45002,Antwerpen (Borgerhout),3,ambulance,POINT (4.45002 51.20281)
10221550113,51.1849,4.42691,Antwerpen (Berchem),39,ambulance,POINT (4.42691 51.1849)
10221550120,51.22228,4.47652,Antwerpen (Deurne),39,pit,POINT (4.47652 51.22228)
10221550156,51.21499,4.4205,Antwerpen (Antwerpen),39,ambulance,POINT (4.4205 51.21499)
10221550156,51.21499,4.4205,Antwerpen (Antwerpen),39,mug,POINT (4.4205 51.21499)
10221550157,51.22223,4.47431,Antwerpen (Deurne),11,ambulance,POINT (4.47431 51.22223)
10221550176,51.18885,4.4513,Antwerpen (Deurne),39,ambulance,POINT (4.4513 51.18885)
10221550176,51.18885,4.4513,Antwerpen (Deurne),39,mug,POINT (4.4513 51.18885)
10221550202,51.27153,4.41219,Antwerpen (Antwerpen),39,ambulance,POINT (4.41219 51.27153)
10221550221,51.24452,4.41291,Antwerpen (Antwerpen),39,mug,POINT (4.41291 51.24452)
10221550221,51.24452,4.41291,Antwerpen (Antwerpen),39,pit,POINT (4.41291 51.24452)
10221560014,51.19108,4.44371,Antwerpen (Berchem),11,mug,POINT (4.44371 51.19108)
10221560115,51.19634,4.42658,Antwerpen (Berchem),39,mug,POINT (4.42658 51.19634)
10221560115,51.19634,4.42658,Antwerpen (Berchem),39,ambulance,POINT (4.42658 51.19634)
10221560223,51.26979,4.41438,Antwerpen (Antwerpen),39,ambulance,POINT (4.41438 51.26979)
10221560242,51.24483,4.43948,Antwerpen (Merksem),39,ambulance,POINT (4.43948 51.24483)
10221560242,51.24483,4.43948,Antwerpen (Merksem),39,mug,POINT (4.43948 51.24483)
10221560249,51.1916,4.37024,Antwerpen (Antwerpen),11,mug,POINT (4.37024 51.1916)
10221560249,51.1916,4.37024,Antwerpen (Antwerpen),11,ambulance,POINT (4.37024 51.1916)
10221560375,51.19598,4.44257,Antwerpen (Berchem),11,ambulance,POINT (4.44257 51.19598)
10221560375,51.19598,4.44257,Antwerpen (Berchem),11,mug,POINT (4.44257 51.19598)
10221560399,51.25887,4.45368,Antwerpen (Merksem),3,mug,POINT (4.45368 51.25887)
10221560399,51.25887,4.45368,Antwerpen (Merksem),3,mug,POINT (4.45368 51.25887)
10221560415,51.20329,4.48076,Antwerpen (Deurne),11,ambulance,POINT (4.48076 51.20329)
10221560415,51.20329,4.48076,Antwerpen (Deurne),11,mug,POINT (4.48076 51.20329)
10221560426,51.24967,4.43787,Antwerpen (Merksem),11,mug,POINT (4.43787 51.24967)
10221560426,51.24967,4.43787,Antwerpen (Merksem),11,ambulance,POINT (4.43787 51.24967)
10221560456,51.24995,4.45492,Antwerpen (Merksem),39,mug,POINT (4.45492 51.24995)
10221560456,51.24995,4.45492,Antwerpen (Merksem),39,ambulance,POINT (4.45492 51.24995)
10221560478,51.21311,4.41301,Antwerpen (Antwerpen),11,pit,POINT (4.41301 51.21311)
10221560481,51.22246,4.40593,Antwerpen (Antwerpen),11,ambulance,POINT (4.40593 51.22246)
10221560481,51.22246,4.40593,Antwerpen (Antwerpen),11,mug,POINT (4.40593 51.22246)
10221570073,51.23222,4.41106,Antwerpen (Antwerpen),11,mug,POINT (4.41106 51.23222)
10221570073,51.23222,4.41106,Antwerpen (Antwerpen),11,ambulance,POINT (4.41106 51.23222)
10221570093,51.17006,4.40924,Antwerpen (Wilrijk),11,mug,POINT (4.40924 51.17006)
10221570093,51.17006,4.40924,Antwerpen (Wilrijk),11,ambulance,POINT (4.40924 51.17006)
10221570181,51.25649,4.44971,Antwerpen (Merksem),39,mug,POINT (4.44971 51.25649)
10221570226,51.24039,4.43099,Antwerpen (Merksem),NA,ambulance,POINT (4.43099 51.24039)
10221570226,51.24039,4.43099,Antwerpen (Merksem),NA,mug,POINT (4.43099 51.24039)
10221570246,51.18388,4.35692,Antwerpen (Hoboken),11,ambulance,POINT (4.35692 51.18388)
10221570246,51.18388,4.35692,Antwerpen (Hoboken),11,mug,POINT (4.35692 51.18388)
10221570281,51.22985,4.44248,Antwerpen (Antwerpen),11,mug,POINT (4.44248 51.22985)
10221570366,51.18783,4.36277,Antwerpen (Hoboken),11,pit,POINT (4.36277 51.18783)
10221580060,51.18661,4.38981,Antwerpen (Antwerpen),11,ambulance,POINT (4.38981 51.18661)
10221580104,51.22804,4.40475,Antwerpen (Antwerpen),11,mug,POINT (4.40475 51.22804)
10221580104,51.22804,4.40475,Antwerpen (Antwerpen),11,ambulance,POINT (4.40475 51.22804)
10221580125,51.18633,4.36938,Antwerpen (Hoboken),39,mug,POINT (4.36938 51.18633)
